family,genus,species,accession,start_pos,end_pos
Acetobacteraceae,Acetobacter,Acetobacter persici,AB665070,1,1412
Acetobacteraceae,Acetobacter,Acetobacter pomorum,AJ419835,1,1440
Acetobacteraceae,Acetobacter,Acetobacter senegalensis,AY883036,1,1386
Acetobacteraceae,Acetobacter,Acetobacter sicerae,AJ419840,1,1440
Acetobacteraceae,Acetobacter,Acetobacter syzygii,AB052712,1,1412
Acetobacteraceae,Acetobacter,Acetobacter thailandicus,AB937775,1,1413
Acetobacteraceae,Acetobacter,Acetobacter tropicalis,AB032355,1,1443
Eubacteriaceae,Acetobacterium,Acetobacterium bakii,X96960,1,1459
Eubacteriaceae,Acetobacterium,Acetobacterium carbinolicum,X96956,1,1469
Eubacteriaceae,Acetobacterium,Acetobacterium fimetarium,X96959,1,1469
Eubacteriaceae,Acetobacterium,Acetobacterium malicum,X96957,1,1469
Eubacteriaceae,Acetobacterium,Acetobacterium paludosum,X96958,1,1459
Eubacteriaceae,Acetobacterium,Acetobacterium tundrae,AJ297449,1,1478
Eubacteriaceae,Acetobacterium,Acetobacterium wieringae,X96955,1,1474
Eubacteriaceae,Acetobacterium,Acetobacterium woodii,X96954,1,1475
Rikenellaceae,Acetobacteroides,Acetobacteroides hydrogenigenes,AB611036,1,1440
Halobacteroidaceae,Acetohalobium,Acetohalobium arabaticum,CP002105,433660,435184
Bacteroidaceae,Acetomicrobium,Acetomicrobium flavidum,FR733692,1,1516
Bacteroidaceae,Acetomicrobium,Acetomicrobium hydrogeniformans,FJ862996,1,1444
Bacteroidaceae,Acetomicrobium,Acetomicrobium mobile,AB910748,1,1433
Bacteroidaceae,Acetomicrobium,Acetomicrobium thermoterrenum,U50711,1,1526
Sporomusaceae,Acetonema,Acetonema longum,AJ010964,1,1510
Acholeplasmataceae,Acholeplasma,Acholeplasma axanthum,AF412968,1,1463
Acholeplasmataceae,Acholeplasma,Acholeplasma brassicae,AY538163,1,1430
Acholeplasmataceae,Acholeplasma,Acholeplasma cavigenitalium,AY538164,1,1436
Acholeplasmataceae,Acholeplasma,Acholeplasma equifetale,AY538165,1,1408
Acholeplasmataceae,Acholeplasma,Acholeplasma granularum,AY538166,1,1409
Acholeplasmataceae,Acholeplasma,Acholeplasma hippikon,AY538167,1,1411
Acholeplasmataceae,Acholeplasma,Acholeplasma laidlawii,U14905,1,1476
Acholeplasmataceae,Acholeplasma,Acholeplasma modicum,M23933,1,1472
Acholeplasmataceae,Acholeplasma,Acholeplasma morum,AY538168,1,1427
Acholeplasmataceae,Acholeplasma,Acholeplasma oculi,U14904,1,1490
Acholeplasmataceae,Acholeplasma,Acholeplasma palmae,L33734,45,1457
Acholeplasmataceae,Acholeplasma,Acholeplasma parvum,AY538170,1,1426
Acholeplasmataceae,Acholeplasma,Acholeplasma pleciae,AY257485,1,1457
Acholeplasmataceae,Acholeplasma,Acholeplasma vituli,AF031479,1,1517
Alcaligenaceae,Achromobacter,Achromobacter aegrifaciens,HF586507,1,1483
Alcaligenaceae,Achromobacter,Achromobacter animicus,HE613448,1,1507
Alcaligenaceae,Achromobacter,Achromobacter anxifer,HF586508,1,1483
Alcaligenaceae,Achromobacter,Achromobacter denitrificans,AJ278451,1,1523
Alcaligenaceae,Achromobacter,Achromobacter dolens,HF586509,1,1483
Alcaligenaceae,Achromobacter,Achromobacter insolitus,AY170847,1,1473
Alcaligenaceae,Achromobacter,Achromobacter insuavis,HF586506,1,1483
Alcaligenaceae,Achromobacter,Achromobacter marplatensis,EU150134,1,1378
Alcaligenaceae,Achromobacter,Achromobacter mucicolens,HE613446,1,1507
Alcaligenaceae,Achromobacter,Achromobacter piechaudii,AB010841,1,1321
Alcaligenaceae,Achromobacter,Achromobacter pulmonis,HE798552,1,1489
Alcaligenaceae,Achromobacter,Achromobacter ruhlandii,AB010840,1,1318
Alcaligenaceae,Achromobacter,Achromobacter spanius,AY170848,1,1446
Alcaligenaceae,Achromobacter,Achromobacter xylosoxidans subsp. xylosoxidans,Y14908,1,1495
Unclassified Clostridiales,Acidaminobacter,Acidaminobacter hydrogenoformans,AF016691,1,1468
Acidaminococcaceae,Acidaminococcus,Acidaminococcus fermentans,X78017,1,1516
Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini,AF473835,1,1439
Sulfolobaceae,Acidianus,Acidianus ambivalens,D85506,1,1462
Sulfolobaceae,Acidianus,Acidianus brierleyi,D26489,301,1792
Sulfolobaceae,Acidianus,Acidianus infernus,D85505,1,1463
Sulfolobaceae,Acidianus,Acidianus sulfidivorans,AY907891,1,1473
Acetobacteraceae,Acidicaldus,Acidicaldus organivorans,AY140238,1,1340
Acidobacteriaceae,Acidicapsa,Acidicapsa borealis,FR774763,1,1411
Acidobacteriaceae,Acidicapsa,Acidicapsa ligni,EU780204,1,1401
Acidiferrobacteraceae,Acidiferrobacter,Acidiferrobacter thiooxydans,AF387301,1,1475
Ectothiorhodospiraceae,Acidihalobacter,Acidihalobacter prosperus,JQSG01000009,6763,8286
Acidilobaceae,Acidilobus,Acidilobus aceticus,AF191225,1,1411
Acidilobaceae,Acidilobus,Acidilobus saccharovorans,AY350586,1,1451
Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,U75647,1,1465
Acetobacteraceae,Acidiphilium,Acidiphilium acidophilum,D86511,1,1419
Acetobacteraceae,Acidiphilium,Acidiphilium angustum,D30772,1,1413
Acetobacteraceae,Acidiphilium,Acidiphilium cryptum,D30773,1,1413
Acetobacteraceae,Acidiphilium,Acidiphilium iwatense,AB561883,1,1488
Acetobacteraceae,Acidiphilium,Acidiphilium multivorum,AB006711,1,1451
Acetobacteraceae,Acidiphilium,Acidiphilium organovorum,D30775,1,1413
Acetobacteraceae,Acidiphilium,Acidiphilium rubrum,D30776,1,1413
Acidobacteriaceae,Acidipila,Acidipila dinghuensis,KM083127,1,1461
Acidobacteriaceae,Acidipila,Acidipila rosea,AB561884,1,1461
Ferroplasmaceae,Acidiplasma,Acidiplasma aeolicum,AM943980,1,1341
Ferroplasmaceae,Acidiplasma,Acidiplasma cupricumulans,AY907888,1,1445
Acetobacteraceae,Acidisoma,Acidisoma sibiricum,AM947653,1,1430
Acetobacteraceae,Acidisoma,Acidisoma tundrae,AM947652,1,1400
Acetobacteraceae,Acidisphaera,Acidisphaera rubrifaciens,D86512,1,1451
Unclassified Acidimicrobiales,Aciditerrimonas,Aciditerrimonas ferrireducens,AB517669,1,1483
Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus albertensis,AJ459804,1,1494
Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus caldus,Z29975,1,1460
Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferridurans,AJ278719,1,1408
Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferriphilus,KR905751,1,1323
Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrivorans,AF376020,1,1478
Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus ferrooxidans,AF465604,1,1461
Acidithiobacillaceae,Acidithiobacillus,Acidithiobacillus thiooxidans,Y11596,1,1470
Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum,CP001472,2863353,2864776
Acetobacteraceae,Acidocella,Acidocella aluminiidurans,AB362219,1,1474
Acetobacteraceae,Acidocella,Acidocella aminolytica,D30771,1,1406
Acetobacteraceae,Acidocella,Acidocella facilis,D30774,1,1407
Acetobacteraceae,Acidomonas,Acidomonas methanolica,X77468,1,1481
Acidothermaceae,Acidothermus,Acidothermus cellulolyticus,CP000481,1397655,1399163
Comamonadaceae,Acidovorax,Acidovorax anthurii,AJ007013,1,1486
Comamonadaceae,Acidovorax,Acidovorax avenae,AF137505,1,1481
Comamonadaceae,Acidovorax,Acidovorax caeni,AM084006,1,1518
Comamonadaceae,Acidovorax,Acidovorax cattleyae,AF137504,1,1481
Comamonadaceae,Acidovorax,Acidovorax citrulli,AF137506,1,1481
Comamonadaceae,Acidovorax,Acidovorax defluvii,Y18616,1,1526
Comamonadaceae,Acidovorax,Acidovorax delafieldii,AF078764,1,1515
Comamonadaceae,Acidovorax,Acidovorax facilis,AF078765,1,1511
Comamonadaceae,Acidovorax,Acidovorax konjaci,AJ420325,1,1490
Comamonadaceae,Acidovorax,Acidovorax oryzae,DQ360414,1,1462
Comamonadaceae,Acidovorax,Acidovorax radicis,HM027578,1,1492
Comamonadaceae,Acidovorax,Acidovorax soli,FJ599672,1,1433
Comamonadaceae,Acidovorax,Acidovorax temperans,AF078766,1,1512
Comamonadaceae,Acidovorax,Acidovorax valerianellae,AJ431731,1,1492
Comamonadaceae,Acidovorax,Acidovorax wautersii,JQ946365,1,1502
Moraxellaceae,Acinetobacter,Acinetobacter albensis,KR611794,1,1480
Moraxellaceae,Acinetobacter,Acinetobacter apis,JX402203,1,1497
Moraxellaceae,Acinetobacter,Acinetobacter baumannii,X81660,1,1459
Moraxellaceae,Acinetobacter,Acinetobacter baylyi,AF509820,1,1325
Moraxellaceae,Acinetobacter,Acinetobacter beijerinckii,AJ626712,1,1374
Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Z93443,1,1418
Moraxellaceae,Acinetobacter,Acinetobacter bohemicus,KF679797,1,1490
Moraxellaceae,Acinetobacter,Acinetobacter boissieri,JQ771141,1,1498
Moraxellaceae,Acinetobacter,Acinetobacter bouvetii,AF509827,1,1325
Moraxellaceae,Acinetobacter,Acinetobacter brisouii,DQ832256,1,1405
Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus,AJ888983,1,1516
Moraxellaceae,Acinetobacter,Acinetobacter courvalinii,KT997472,1,1489
Moraxellaceae,Acinetobacter,Acinetobacter dispersus,KT997473,1,1490
Moraxellaceae,Acinetobacter,Acinetobacter equi,KC494698,1,1523
Moraxellaceae,Acinetobacter,Acinetobacter gandensis,KM206131,1,1404
Moraxellaceae,Acinetobacter,Acinetobacter gerneri,AF509829,1,1325
Moraxellaceae,Acinetobacter,Acinetobacter guangdongensis,JQ608323,1,1499
Moraxellaceae,Acinetobacter,Acinetobacter guillouiae,X81659,1,1461
Moraxellaceae,Acinetobacter,Acinetobacter gyllenbergii,AJ293694,1,1456
Moraxellaceae,Acinetobacter,Acinetobacter haemolyticus,X81662,1,1460
Moraxellaceae,Acinetobacter,Acinetobacter harbinensis,KC843488,1,1328
Moraxellaceae,Acinetobacter,Acinetobacter indicus,HM047743,1,1393
Moraxellaceae,Acinetobacter,Acinetobacter johnsonii,Z93440,1,1417
Moraxellaceae,Acinetobacter,Acinetobacter junii,X81664,1,1459
Moraxellaceae,Acinetobacter,Acinetobacter kookii,JX137279,1,1346
Moraxellaceae,Acinetobacter,Acinetobacter lwoffii,X81665,1,1460
Moraxellaceae,Acinetobacter,Acinetobacter modestus,KT997474,1,1489
Moraxellaceae,Acinetobacter,Acinetobacter nectaris,JQ771132,1,1498
Moraxellaceae,Acinetobacter,Acinetobacter nosocomialis,HQ180192,1,1390
Moraxellaceae,Acinetobacter,Acinetobacter pakistanensis,AB916465,1,1413
Moraxellaceae,Acinetobacter,Acinetobacter parvus,AJ293691,1,1465
Moraxellaceae,Acinetobacter,Acinetobacter pittii,HQ180184,1,1392
Moraxellaceae,Acinetobacter,Acinetobacter populi,KM518626,1,1458
Moraxellaceae,Acinetobacter,Acinetobacter proteolyticus,KT997475,1,1490
Moraxellaceae,Acinetobacter,Acinetobacter puyangensis,JN664255,1,1460
Moraxellaceae,Acinetobacter,Acinetobacter qingfengensis,JX982123,1,1399
Moraxellaceae,Acinetobacter,Acinetobacter radioresistens,X81666,1,1459
Moraxellaceae,Acinetobacter,Acinetobacter rudis,EF204258,1,1500
Moraxellaceae,Acinetobacter,Acinetobacter schindleri,AJ278311,1,1466
Moraxellaceae,Acinetobacter,Acinetobacter seifertii,FJ860878,1,1460
Moraxellaceae,Acinetobacter,Acinetobacter soli,EU290155,1,1422
Moraxellaceae,Acinetobacter,Acinetobacter tandoii,AF509830,1,1325
Moraxellaceae,Acinetobacter,Acinetobacter tjernbergiae,AF509825,1,1325
Moraxellaceae,Acinetobacter,Acinetobacter towneri,AF509823,1,1325
Moraxellaceae,Acinetobacter,Acinetobacter ursingii,AJ275038,1,1439
Moraxellaceae,Acinetobacter,Acinetobacter variabilis,KP278590,1,1527
Moraxellaceae,Acinetobacter,Acinetobacter venetianus,AJ295007,1,1463
Moraxellaceae,Acinetobacter,Acinetobacter vivianii,KT997477,1,1489
Streptosporangiaceae,Acrocarpospora,Acrocarpospora corrugata,AB188150,1,1479
Streptosporangiaceae,Acrocarpospora,Acrocarpospora macrocephala,AB025318,1,1449
Streptosporangiaceae,Acrocarpospora,Acrocarpospora phusangensis,AB649124,1,1453
Streptosporangiaceae,Acrocarpospora,Acrocarpospora pleiomorpha,AB006174,1,1477
Flavobacteriaceae,Actibacter,Actibacter haliotis,KC193210,1,1445
Flavobacteriaceae,Actibacter,Actibacter sediminis,EF670651,1,1374
Rhodobacteraceae,Actibacterium,Actibacterium atlanticum,KJ159064,1,1430
Rhodobacteraceae,Actibacterium,Actibacterium mucosum,HE590855,1,1412
Thermomonosporaceae,Actinoallomurus,Actinoallomurus acaciae,EU429322,1,1468
Thermomonosporaceae,Actinoallomurus,Actinoallomurus acanthiterrae,JQ085862,1,1483
Thermomonosporaceae,Actinoallomurus,Actinoallomurus amamiensis,AB364583,1,1471
Thermomonosporaceae,Actinoallomurus,Actinoallomurus bryophytorum,KJ425409,1,1508
Thermomonosporaceae,Actinoallomurus,Actinoallomurus caesius,AB364589,1,1465
Thermomonosporaceae,Actinoallomurus,Actinoallomurus coprocola,AB364579,1,1438
Thermomonosporaceae,Actinoallomurus,Actinoallomurus fulvus,AB364582,1,1471
Thermomonosporaceae,Actinoallomurus,Actinoallomurus iriomotensis,AB364586,1,1447
Thermomonosporaceae,Actinoallomurus,Actinoallomurus liliacearum,AB668306,1,1431
Thermomonosporaceae,Actinoallomurus,Actinoallomurus luridus,AB364585,1,1455
Thermomonosporaceae,Actinoallomurus,Actinoallomurus oryzae,EU420071,1,1468
Thermomonosporaceae,Actinoallomurus,Actinoallomurus purpureus,AB364588,1,1454
Thermomonosporaceae,Actinoallomurus,Actinoallomurus radicium,AB578855,1,1487
Thermomonosporaceae,Actinoallomurus,Actinoallomurus spadix,AF163120,1,1458
Thermomonosporaceae,Actinoallomurus,Actinoallomurus vinaceus,AB668307,1,1303
Thermomonosporaceae,Actinoallomurus,Actinoallomurus yoronensis,AB364584,1,1469
Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus cyanogriseus,AB006178,1,1468
Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus hoggarensis,KJ504175,1,1381
Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus hymeniacidonis,DQ144222,1,1470
Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus nanshanensis,GQ926935,1,1508
Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus spitiensis,AY426714,1,1476
Pasteurellaceae,Actinobacillus,Actinobacillus anseriformium,AY172727,1,1450
Pasteurellaceae,Actinobacillus,Actinobacillus arthritidis,L06084,1,1485
Pasteurellaceae,Actinobacillus,Actinobacillus capsulatus,AY362886,1,1362
Pasteurellaceae,Actinobacillus,Actinobacillus delphinicola,AY362889,1,1365
Pasteurellaceae,Actinobacillus,Actinobacillus equuli subsp. equuli,AF381186,1,1362
Pasteurellaceae,Actinobacillus,Actinobacillus equuli subsp. haemolyticus,AF247716,1,1461
Pasteurellaceae,Actinobacillus,Actinobacillus hominis,AY362890,1,1362
Pasteurellaceae,Actinobacillus,Actinobacillus indolicus,AY362891,1,1362
Pasteurellaceae,Actinobacillus,Actinobacillus lignieresii,AY362892,1,1364
Pasteurellaceae,Actinobacillus,Actinobacillus minor,AY362893,1,1362
Pasteurellaceae,Actinobacillus,Actinobacillus pleuropneumoniae,M75074,1,1478
Pasteurellaceae,Actinobacillus,Actinobacillus porcinus,U65583,1,1466
Pasteurellaceae,Actinobacillus,Actinobacillus rossii,AY362895,1,1364
Pasteurellaceae,Actinobacillus,Actinobacillus scotiae,Y09653,1,1497
Pasteurellaceae,Actinobacillus,Actinobacillus seminis,AY362897,1,1364
Pasteurellaceae,Actinobacillus,Actinobacillus succinogenes,AF024525,1,1488
Pasteurellaceae,Actinobacillus,Actinobacillus suis,AY362899,1,1362
Pasteurellaceae,Actinobacillus,Actinobacillus ureae,AY362900,1,1362
Actinomycetaceae,Actinobaculum,Actinobaculum suis,S83623,1,1506
Micromonosporaceae,Actinocatenispora,Actinocatenispora rupis,AM980986,1,1408
Micromonosporaceae,Actinocatenispora,Actinocatenispora sera,AB263096,1,1481
Micromonosporaceae,Actinocatenispora,Actinocatenispora thailandica,AB107233,1,1444
Thermomonosporaceae,Actinocorallia,Actinocorallia aurantiaca,AJ293701,1,1478
Thermomonosporaceae,Actinocorallia,Actinocorallia aurea,AB006177,1,1465
Thermomonosporaceae,Actinocorallia,Actinocorallia cavernae,AY966427,1,1407
Thermomonosporaceae,Actinocorallia,Actinocorallia glomerata,AJ293704,1,1509
Thermomonosporaceae,Actinocorallia,Actinocorallia herbida,D85473,1,1465
Thermomonosporaceae,Actinocorallia,Actinocorallia lasiicapitis,KR261652,1,1508
Thermomonosporaceae,Actinocorallia,Actinocorallia libanotica,U49007,1,1404
Thermomonosporaceae,Actinocorallia,Actinocorallia longicatena,AJ293707,1,1510
Pseudonocardiaceae,Actinokineospora,Actinokineospora auranticolor,AB058396,1,1474
Pseudonocardiaceae,Actinokineospora,Actinokineospora baliensis,AB447488,1,1451
Pseudonocardiaceae,Actinokineospora,Actinokineospora bangkokensis,JQ922512,1,1398
Pseudonocardiaceae,Actinokineospora,Actinokineospora cianjurensis,AB473945,1,1477
Pseudonocardiaceae,Actinokineospora,Actinokineospora cibodasensis,AB447489,1,1472
Pseudonocardiaceae,Actinokineospora,Actinokineospora diospyrosa,AF114797,1,1512
Pseudonocardiaceae,Actinokineospora,Actinokineospora enzanensis,AB058395,1,1473
Pseudonocardiaceae,Actinokineospora,Actinokineospora fastidiosa,GQ200601,1,1408
Pseudonocardiaceae,Actinokineospora,Actinokineospora globicatena,AF114798,1,1510
Pseudonocardiaceae,Actinokineospora,Actinokineospora guangxiensis,KJ027603,1,1421
Pseudonocardiaceae,Actinokineospora,Actinokineospora inagensis,AF114799,1,1507
Pseudonocardiaceae,Actinokineospora,Actinokineospora mzabensis,KJ504177,1,1441
Pseudonocardiaceae,Actinokineospora,Actinokineospora riparia,AF114802,1,1502
Pseudonocardiaceae,Actinokineospora,Actinokineospora soli,JN005785,1,1477
Pseudonocardiaceae,Actinokineospora,Actinokineospora spheciospongiae,GU318361,1,1481
Pseudonocardiaceae,Actinokineospora,Actinokineospora terrae,AB058394,1,1471
Thermomonosporaceae,Actinomadura,Actinomadura alba,DQ985164,1,1457
Thermomonosporaceae,Actinomadura,Actinomadura amylolytica,AB859253,1,1540
Thermomonosporaceae,Actinomadura,Actinomadura apis,AB557596,1,1495
Thermomonosporaceae,Actinomadura,Actinomadura atramentaria,U49000,1,1409
Thermomonosporaceae,Actinomadura,Actinomadura bangladeshensis,AB331652,1,1497
Thermomonosporaceae,Actinomadura,Actinomadura catellatispora,AF154127,1,1452
Thermomonosporaceae,Actinomadura,Actinomadura cellulosilytica,AB859254,1,1538
Thermomonosporaceae,Actinomadura,Actinomadura chibensis,AB264086,1,1466
Thermomonosporaceae,Actinomadura,Actinomadura chokoriensis,AB331730,1,1501
Thermomonosporaceae,Actinomadura,Actinomadura citrea,AJ420139,1,1447
Thermomonosporaceae,Actinomadura,Actinomadura coerulea,U49002,1,1409
Thermomonosporaceae,Actinomadura,Actinomadura cremea subsp. cremea,AF134067,1,1432
Thermomonosporaceae,Actinomadura,Actinomadura darangshiensis,FN646682,1,1424
Thermomonosporaceae,Actinomadura,Actinomadura echinospora,AJ420135,1,1440
Thermomonosporaceae,Actinomadura,Actinomadura fibrosa,AJ293702,1,1482
Thermomonosporaceae,Actinomadura,Actinomadura flavalba,FJ157185,1,1451
Thermomonosporaceae,Actinomadura,Actinomadura formosensis,AJ293703,1,1513
Thermomonosporaceae,Actinomadura,Actinomadura fulvescens,AJ420137,1,1455
Thermomonosporaceae,Actinomadura,Actinomadura geliboluensis,HQ157187,1,1490
Thermomonosporaceae,Actinomadura,Actinomadura glauciflava,AB184612,1,1475
Thermomonosporaceae,Actinomadura,Actinomadura hallensis,DQ076484,1,1528
Thermomonosporaceae,Actinomadura,Actinomadura hibisca,AJ293705,1,1516
Thermomonosporaceae,Actinomadura,Actinomadura jiaoheensis,KM000835,1,1511
Thermomonosporaceae,Actinomadura,Actinomadura keratinilytica,EU637009,1,1488
Thermomonosporaceae,Actinomadura,Actinomadura kijaniata,X97890,1,1448
Thermomonosporaceae,Actinomadura,Actinomadura latina,AY035998,1,1452
Thermomonosporaceae,Actinomadura,Actinomadura livida,AJ293706,1,1525
Thermomonosporaceae,Actinomadura,Actinomadura luteofluorescens,U49008,1,1409
Thermomonosporaceae,Actinomadura,Actinomadura macra,U49009,1,1403
Thermomonosporaceae,Actinomadura,Actinomadura madurae,X97889,1,1445
Thermomonosporaceae,Actinomadura,Actinomadura meridiana,FN646663,1,1433
Thermomonosporaceae,Actinomadura,Actinomadura mexicana,AF277195,1,1421
Thermomonosporaceae,Actinomadura,Actinomadura meyerae,AY273787,1,1480
Thermomonosporaceae,Actinomadura,Actinomadura miaoliensis,EF116925,1,1514
Thermomonosporaceae,Actinomadura,Actinomadura namibiensis,AJ420134,1,1438
Thermomonosporaceae,Actinomadura,Actinomadura napierensis,AY568292,1,1346
Thermomonosporaceae,Actinomadura,Actinomadura nitritigenes,AY035999,1,1469
Thermomonosporaceae,Actinomadura,Actinomadura oligospora,AF163118,1,1462
Thermomonosporaceae,Actinomadura,Actinomadura pelletieri,AJ293710,1,1479
Thermomonosporaceae,Actinomadura,Actinomadura rayongensis,AB889544,1,1418
Thermomonosporaceae,Actinomadura,Actinomadura rifamycini,U49003,1,1410
Thermomonosporaceae,Actinomadura,Actinomadura rubrobrunea,EU637008,1,1490
Thermomonosporaceae,Actinomadura,Actinomadura rudentiformis,DQ285420,1,1433
Thermomonosporaceae,Actinomadura,Actinomadura rugatobispora,U49010,1,1406
Thermomonosporaceae,Actinomadura,Actinomadura rupiterrae,FM210337,1,1437
Thermomonosporaceae,Actinomadura,Actinomadura scrupuli,FM210339,1,1402
Thermomonosporaceae,Actinomadura,Actinomadura sediminis,JF272484,1,1537
Thermomonosporaceae,Actinomadura,Actinomadura sporangiiformans,KM000834,1,1511
Thermomonosporaceae,Actinomadura,Actinomadura sputi,FM957483,1,1509
Thermomonosporaceae,Actinomadura,Actinomadura syzygii,KF667496,1,1507
Thermomonosporaceae,Actinomadura,Actinomadura umbrina,AJ293713,1,1439
Thermomonosporaceae,Actinomadura,Actinomadura verrucosospora,U49011,1,1411
Thermomonosporaceae,Actinomadura,Actinomadura vinacea,AF134070,1,1441
Thermomonosporaceae,Actinomadura,Actinomadura viridilutea,D86943,1,1475
Thermomonosporaceae,Actinomadura,Actinomadura viridis,AJ420141,1,1446
Thermomonosporaceae,Actinomadura,Actinomadura xylanilytica,FR692101,1,1454
Thermomonosporaceae,Actinomadura,Actinomadura yumaensis,AF163122,1,1454
Actinomycetaceae,Actinomyces,Actinomyces bovis,X81061,1,1434
Actinomycetaceae,Actinomyces,Actinomyces bowdenii,AJ234039,1,1513
Actinomycetaceae,Actinomyces,Actinomyces canis,AJ243891,1,1428
Actinomycetaceae,Actinomyces,Actinomyces cardiffensis,AJ421779,1,1522
Actinomycetaceae,Actinomyces,Actinomyces catuli,AJ276805,1,1400
Actinomycetaceae,Actinomyces,Actinomyces coleocanis,AJ249326,1,1437
Actinomycetaceae,Actinomyces,Actinomyces dentalis,AJ697609,1,1517
Actinomycetaceae,Actinomyces,Actinomyces denticolens,X80412,1,1422
Actinomycetaceae,Actinomyces,Actinomyces europaeus,Y08828,1,1410
Actinomycetaceae,Actinomyces,Actinomyces funkei,AJ404889,30,1395
Actinomycetaceae,Actinomyces,Actinomyces georgiae,X80413,1,1422
Actinomycetaceae,Actinomyces,Actinomyces gerencseriae,X80414,1,1415
Actinomycetaceae,Actinomyces,Actinomyces graevenitzii,AJ540309,1,1413
Actinomycetaceae,Actinomyces,Actinomyces haliotis,KC196072,1,1459
Actinomycetaceae,Actinomyces,Actinomyces hominis,FJ617539,1,1502
Actinomycetaceae,Actinomyces,Actinomyces hongkongensis,AF433168,1,1425
Actinomycetaceae,Actinomyces,Actinomyces hordeovulneris,X82448,1,1426
Actinomycetaceae,Actinomyces,Actinomyces howellii,X80411,1,1415
Actinomycetaceae,Actinomyces,Actinomyces hyovaginalis,X69616,1,1496
Actinomycetaceae,Actinomyces,Actinomyces israelii,X82450,1,1441
Actinomycetaceae,Actinomyces,Actinomyces johnsonii,AB545933,1,1522
Actinomycetaceae,Actinomyces,Actinomyces marimammalium,AJ276405,1,1416
Actinomycetaceae,Actinomyces,Actinomyces massiliensis,EF558367,1,1481
